raw_name,standard_name
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Congo,Republic of the Congo
Republic of Congo,Republic of the Congo
Republic of the Congo,Republic of the Congo
Romania,Romania
Crimea,Russia
Donetsk People's Republic,Russia
Russia,Russia
Russian Federation,Russia
Rwanda,Rwanda
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Sierra Leone,Sierra Leone
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
Korea Republic of,South Korea
Republic of Korea,South Korea
South Korea,South Korea
"Korea, Rep",South Korea
"Korea, Dem. People's Rep",North Korea
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Eswatini,Swaziland
eSwatini,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Serbia,Republic of Serbia
Syria,Syria
Syrian Arab Republic,Syria
Taiwan,Taiwan
Tajikistan,Tajikistan
Thailand,Thailand
Bahamas,The Bahamas
Togo,Togo
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkiye,Turkey
Türkiye,Turkey
Turkmenistan,Turkmenistan
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
Tanzania,United Republic of Tanzania
United Republic of Tanzania,United Republic of Tanzania
United States,United States of America
United States of America,United States of America
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela,Venezuela
Venezuela (Bolivarian Republic of),Venezuela
Viet Nam,Vietnam
Vietnam,Vietnam
Palestine,Palestinian Territories
State of Palestine,Palestinian Territories
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
Palau,
Africa,
Akrotiri and Dhekelia,
American Samoa,
Andorra,
Anguilla,
Antigua and Barbuda,
Aruba,
Asia,
Bahrain,
Balkans,
Barbados,
Bermuda,
Bonaire, 
British Virgin Islands,
Cabo Verde,
Cape Verde,
Caribbean,
Cayman Islands,
Central America,
Central Asia,
Central and Southern Asia,
Comoros,
Cook Islands,
Curaçao,
Dominica,
Dominican Republic,
East Asia & Pacific,
Eastern Africa,
Eastern Asia,
Eastern Europe,
Eastern and South-Eastern Asia,
Europe,
Europe & Central Asia,
Europe and Northern America,
Faroe Islands,
Gibraltar,
Grenada,
Guam,
Guernsey,
High-and-upper-middle-income countries,
High-income countries,
Holy See,
Isle of Man,
Jersey,
Kiribati,
LLDC: Africa,
LLDC: Asia,
LLDC: Europe,
LLDC: Latin America,
Land-locked Developing Countries (LLDC),
Latin America & Caribbean,
Latin America and the Caribbean,
Least developed countries,
Less developed regions,
Liechtenstein,
Low-and-Lower-middle-income countries,
Low-and-middle-income countries,
Low-income countries,
Lower-middle-income countries,
Luhansk People's Republic,
Maldives,
Malta,
Marshall Islands,
Martinique,
Mauritius,
Melanesia,
Micronesia,
Micronesia (Fed. States of),
Middle Africa,
Middle East & North Africa,
Middle-income countries,
Monaco,
Montserrat,
More developed regions,
Nauru,
Niue,
No income group available,
North America,
Northern Africa,
Northern Africa and Western Asia,
Northern America,
Northern Europe,
Northern Mariana Islands,
Oceania,
Oceania (excluding Australia and New Zealand),
Polynesia,
SIDS Caribbean,
SIDS Pacific,
Saint Barthélemy,
Saint Helena,
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin (French part),
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,
Samoa,
San Marino,
Sao Tome and Principe,
Seychelles,
Singapore,
Sint Maarten (Dutch part),
Small Island Developing States (SIDS),
South America,
South Asia,
South-Eastern Asia,
Southern Africa,
Southern Asia,
Southern Europe,
Sub-Saharan Africa,
Tokelau,
Tonga,
Transnistria,
Turks and Caicos Islands,
Tuvalu,
United States Virgin Islands,
Upper-middle-income countries,
Wallis and Futuna Islands,
Western Africa,
Western Asia,
Western Europe,
Western Sahara,
World,
